Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon,Email,Website
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS IBU DAN ANAK,"JL PROF A MADJID IBRAHIM, PUNGE JURONG, KEC. MEURAXA 23231",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS PERTAMEDIKA UMMI ROSNATI,"JL BALIBIS LR SEKOLAH, ATEUK PAHLAWAN, KEC. BAITURRAHMAN 23241",0653-350902,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU DR ZAINOEL ABIDIN,"JL TGK DAUD BEUREUEH NO 108, BANDAR BARU, KEC. KUTA ALAM 23126",0651-34562; 0651-34566,rsudza@acehprov.go.id,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD MEURAXA,"JL SOEKARNO HATTA KM 2, MIBO, KEC. BANDA RAYA",,rsu_meuraxa@yahoo.co.id,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT,"JL T HAMZAH BENDAHARA NO 1, KUTA ALAM, KEC. KUTA ALAM",0651-24712,rumahsakitim@yahoo.com,www.rsadim.com
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT CEMPAKA AZZAHRA,"JL POCUT BAREN NO 32, LAKSANA, KEC. KUTA ALAM 23122",0811683921,rsu-azzahra@yahoo.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT FAKINAH,"JL JENDERAL SUDIRMAN NO 27-29, GEUCEU INIEM, KEC. BANDA RAYA 23239",081377028888,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT JIWA BANDA ACEH,"JL DR T STARIF THAEB NO 25, BANDAR BARU, KEC. KUTA ALAM 23126",0651-32010; 0651-25857,rsjaceh2011@gmail.com,www.rsj.acehprov.go.id
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PRINCE NAYEB,"JL LINGKAR KAMPUS, KOPELMA DARUSSALAM, KEC. SYIAH KUALA 23111",08116819755,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"CUT MEUTIA MEDIKA NUSANTARA, PT","JL GARUDA NO 1, PONDOK KELAPA, KEC. LANGSA BARO 24415",0641-425314,pt.cmnlgs@gmail.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS CUT MEUTIA MEDIKA NUSANTARA,"JL GARUDA NO 1, PONDOK KELAPA, KEC. LANGSA BARO 24415",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD LANGSA,"JL AHMAD YANI NO 1, GAMPONG JAWA, KEC. LANGSA KOTA 24416",0641-22051,rsulangsa@gmail.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT CUT NYAK DHIEN,"JL TM BAHRLIM NO 1, GAMPONG JAWA, KEC. LANGSA KOTA 24476",0641-21039,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMMI,"JL MADJID IBRAHIM NO 70, SUNGAI PAUH, KEC. LANGSA BARAT 24410",085262623653,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PRODIA,"JL MERDEKA, SIMPANG EMPAT, KEC. BANDA SAKTI 24351",0645-47205,lhokseumawe@prodia.co.id,www.prodia.co.id
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS PMI,"JL SAMUDERA DSN HAMINTE, KAMPUNG JAWA LAMA, KEC. BANDA SAKTI 24351",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU BUNGA MELATI,"JL SAMUDERA BARU DSN HARAPAN, KEUDE ACEH, KEC. BANDA SAKTI 24351",085260997298,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU CUT MEUTIA LHOKSEUMAWE,"JL BANDA ACEH-MEDAN KM 6 BUKET RATA, MESJID PUNTEUT, KEC. BLANG MANGAT",0645-46334; 0645-46222,rsucutmeutia_lhokseumawe@yahoo.co.id,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT BUNDA,"JL DARUSSALAM NO16, LANCANG GARAM, KEC. BANDA SAKTI 24351",0645-46925,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT KASIH IBU,"JL MERDEKA DSN TEUMPOK, KUTA BLANG, KEC. BANDA SAKTI 24351",085207375000,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM SAKINAH,"JL ANTARA DSN ANTERA, KAMPUNG JAWA BARU, KEC. BANDA SAKTI 24315",0645-42158,rsu.sakinah@gmail.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"VINCA ROSEA, PT","JL DARUSSALAM DSN RAHMAT, KAMPUNG JAWA BARU, KEC. BANDA SAKTI 24315",08116813999,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD KOTA SUBULUSSALAM,"JL HAMZAH FANSURI DSN RAHMAH, SUBULUSSALAM BARAT, KEC. SIMPANG KIRI 24782",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM,"JL MERDEKA NO 40, KAYU JATI, KEC. PANYABUNGAN 22919",081262444017,rsudpenyabungan@yahoo.co.id,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM DAERAH,"PASAR 1, PASAR I NATAL, KEC. NATAL 22987",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM PERMATA MADINA,"JL MERDEKA, KAYU JATI, KEC. PANYABUNGAN 22919",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM DAERAH PANDAN,,,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU TARUTUNG,"JL AGUS SALIM NO 1, HUTA TORUAN X, KEC. TARUTUNG",0633-21303; 0633-21303,rsutarutung@yahoo.co.id,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU HKBP BALIGE,"JL GEREJA NO 17, LUMBAN DOLOK, KEC. BALIGE 22314",0632-21043; 0632-21891,rsubalige@yahoo.co.id,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD PORSEA,"JL RAJA SIPAKKO NAPI TUPULU NO 11 PORSEA, PARPAREAN II, KEC. PORSEA 22384",081262220003,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,LABORATORIUM KLINIK PRODIA,"JL JENDRAL A YANI NO 189, KARTINI, KEC. RANTAU UTARA 21412",0624-25368,rprapat@prodia.co.id,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"PERKEBUNAN NUSANTARA 3 PKS AEK NABARA SELATAN, PT (PERSERO)","JL LINTAS SUMATRA, EMPLASMEN AEK NABARA, KEC. BILAH HULU",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU ELFI AL AZIS,"JL WR SUPRATMAN, PADANG MATINGGI, KEC. RANTAU UTARA 21411",085261960099,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PERUM BULOG SUBDRIVE KISARAN,"JL JEND AHMAD YANI NO 279, KISARAN NAGA, KEC. KISARAN TIMUR 21224",0623-41995,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"PRODIA WIDYAHUSADA, PT","JL IMAM BONJOL 177, TELADAN, KEC. KISARAN TIMUR 21222",0623-348599,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"RS UMUM WIRA HUSADA, PT","JL KARTINI NO 209, SENDANG SARI, KEC. KISARAN BARAT 21218",0623-42532; 0623-42552,rsuwira_husada@yahoo.com,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU IBU KARTINI,"JL BESAR SEI RENGGAS, SEI RENGGAS, KEC. KISARAN BARAT 21213",0623-41663,rsibukartini@bakriesumatera.com,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU SEGAR WARAS,"JL LINTAS SUMATERA, LEDONG BARAT, KEC. AEK LEDONG 21275",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT IBU DAN ANAK NAMARINA,"JL PROF MYAMIN SH NO 80, KISARAN NAGA, KEC. KISARAN TIMUR 21224",0623-347120; 0623-43744,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT SETIO,"JL SISINGAMANGARAJA, KISARAN TIMUR, KEC. KISARAN TIMUR 21222",081370546546,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM ABDUL HANAN S,"JL SISINGAMANGARAJA NO 310 LK 4, KISARAN BARAT, KEC. KISARAN BARAT 21214",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"MEDICA NUSANTARA, PT","RS LARAS, NAGA JAYA I, KEC. BANDAR HULUAN",082276054110,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"PRIME MEDICA NUSANTARA, PT","RUMAH SAKIT BALIMBINGAN DSN 1, BALIMBINGAN, KEC. TANAH JAWA 21181",08126212868,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS KARYA HUSADA,"JL MERDEKA, PERDAGANGAN III, KEC. BANDAR",082122590570,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD TUAN RONDAHAIM,"KOMP PERKANTORAN SKPD, SONDI RAYA, KEC. RAYA 21162",08126483009,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT,"JL BESAR PERUMNAS, PERDAGANGAN III, KEC. BANDAR 21184",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM SIDIKALANG,"JL RUMAH SAKIT UMUM NO 17, BATANG BERUH, KEC. SIDIKALANG 22212",0627-21096,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,YAYASAN PETRASA,"JL SIDIKALANG MEDAN PANJI NO 17 B, BATANG BERUH, KEC. SIDIKALANG",0627-21882,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,LABORATORIUM KLINIK,"JL KAPTEN SELAMAT KETAREN KOMP RUKO, GUNG LETO, KEC. KABANJAHE 22111",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS EFARINA ETAHAM,"JL DJAMIN GINTING, R A Y A, KEC. BERASTAGI 22152",0813323716; 0628 323718,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU ESTER,"JL VETERAN NO 21, KAMPUNG DALAM, KEC. KABANJAHE 12113",0628-20714,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM AMANDA,"JL JAMIN GINTING, R A Y A, KEC. BERASTAGI 22156",082166364284,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM KABANJAHE,"JL KAPTEN SELAMAT KETAREN NO 8, GUNG LETO, KEC. KABANJAHE 22111",0628-20012,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK BERSALIN,"DSN 2 SARI, KAMPUNG SELAMAT, KEC. BIRU-BIRU 20358",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS MITRA SEHAT,"JL SEI MERAH, DAGANG KERAWAN, KEC. TANJUNG MORAWA",0826020191,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT DR GL TOBING,"JL MEDAN - TANJUNG MORAWA KM 16, BUNTU BEDIMBAR, KEC. TANJUNG MORAWA 20362",081263749444,pimpinan-rsgl@ptpn2.com,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PATAR ASIH,"DSN MANGGIS, TUMPATAN, KEC. BERINGIN 20552",0617-950449,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT SARI MUTIARA,"JL MEDAN, LUBUK PAKAM TIGA, KEC. LUBUK PAKAM 20516",061-7951339,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK INSANI,"JL TANJUNG PURA RT. 04/RW. 02, PELAWI UTARA, KEC. BABALAN 20857",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,POLIKLINIK PERTAMINA,"JL MESJID RAYA, BUKIT JENGKOL, KEC. PANGKALAN SUSU",0620-51499; 0620-51013,dm.pep.admoz.med.psu@pertamina.com,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT M THAMRIN,"DSN 2 DONDONG BARAT, JENTERA STABAT, KEC. WAMPU",081265600009,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT DELIA,"JL KH DEWANTARA DSN 5, SEI LIMBAT, KEC. SELESAI 20762",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"RUMAH SAKIT P 2, PT","DSN 10 RSTS, TEBING TANJUNG SELAMAT, KEC. PADANG TUALANG 20852",085276326446,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"RUMAH SAKIT PERTAMINA BINA MEDIKA, PT","JL DR WAHIDIN, PURAKA I PERTAMINA, KEC. SEI LEPAN 20857",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM INSANI,"JL PERNIAGAAN RT. 05/RW. 05, STABAT BARU, KEC. STABAT",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM,"JL KK JULIUS SIMAMORA DOLOK SAIT DSN 1, BONANI ONAN, KEC. DOLOK SANGGUL 22457",0633-31022; 0633-31022,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD SALAK,"JL RAJA DAVID, BOANG MANALU SALAK, KEC. SALAK 22272",,150.rsudsalak@gmail.com,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD HADRIANUS SINAGA,"JL DR HADRIANUS SINAGA, PINTU SONA, KEC. PANGURURAN 22392",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK PRIMA,"EMPLASMEN PABATU, KEDAI DAMAR, KEC. TEBINGTINGGI 20998",081397074151,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU TRIANDA,"BENGKEL, KEC. PERBAUNGAN",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT,"DUSUN I , ADOLINA, KEC. PERBAUNGAN 20986",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT MELATI,"JL DELI NO 105-115, SIMPANG TIGA PEKAN, KEC. PERBAUNGAN 20986",061-7990057,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"UNIT RUMAH SAKIT PABATU PRIMA MEDICA NUSANTARA, PT","EMPLASMEN PABATU, KEDAI DAMAR, KEC. TEBINGTINGGI 20651",081397074151,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"AMOEBA INTERNASIONAL , PT","EMPAT NEGERI, KEC. LIMAPULUH",,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD GUNUNG TUA,"AEK HARUAYA, KEC. PORTIBI",081260304441,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS PERMATA MADINA,"JL KH DEWANTARA LK VI SIBUHUAN, PSR SIBUHUAN, KEC. BARUMUN 22763",085360426043,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD PADANG LAWAS,"JL KI HAJAR DEWANTARA, PSR SIBUHUAN, KEC. BARUMUN 22763",081375339181,,
SUMATERA UTARA,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS NURAINI,"SIMPANG EMPAT, SISUMUT, KEC. KOTA PINANG 27464",,,
